State_Code,County_Code,Parameter_Name,Metric_Used,Year,Arithmetic_Mean,Local_Site_Name,Address,State_Name,County_Name,City_Name
1,073,Manganese_(TSP)_STP,Observed Values,1990,0.14555,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Molybdenum_(TSP)_STP,Observed Values,1990,0.00115,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Nickel_(TSP)_STP,Observed Values,1990,0.003575,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Vanadium_(TSP)_STP,Observed Values,1990,0.002125,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Zinc_(TSP)_STP,Observed Values,1990,0.4065,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,PM10_Total_0-10um_STP,Daily Mean,1990,38.625698,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,Lead_(TSP)_STP,Observed Values,1990,0.43377,,"NEW_JERUSALEM,_ILCO,_ROUTE_2,_BOX_573",Alabama,Jefferson,Leeds
1,073,Lead_(TSP)_STP,Observed Values,1990,0.226833,,"NEW_JERUSALEM,_HOL_CHURCH,_RT._2,_BOX_54",Alabama,Jefferson,Leeds
1,073,Ozone,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1990,0.058149,,"3425_TAMASSEE_LANE,_HOOVER,_AL_35226",Alabama,Jefferson,Hoover
1,073,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.049653,,"3425_TAMASSEE_LANE,_HOOVER,_AL_35226",Alabama,Jefferson,Hoover
1,073,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.049781,,"3425_TAMASSEE_LANE,_HOOVER,_AL_35226",Alabama,Jefferson,Hoover
1,073,Ozone,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1990,0.058302,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.049731,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.049731,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,Suspended_particulate_(TSP),Observed Values,1990,59.216667,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,Ozone,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1990,0.055104,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.04689,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.04689,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,073,PM10_Total_0-10um_STP,Daily Mean,1990,37.262295,,"TARRANT,_ELEM._SCH.,_1269_PORTLAND_STREE",Alabama,Jefferson,Tarrant_(corporate_name_for_Tarrant_City)
1,077,Suspended_particulate_(TSP),Observed Values,1990,37.6,,"541_RIVERVIEW_DR.__FLORENCE,AL.35630",Alabama,Lauderdale,Florence
1,077,Sulfur_dioxide,Daily maximum 1-hour average,1990,19.350427,,TVA_COLBERT_1____1.8_MI_NNE_COLBERT_FP,Alabama,Lauderdale,Not_in_a_city
1,077,Sulfur_dioxide,Observed Values,1990,4.059916,,TVA_COLBERT_1____1.8_MI_NNE_COLBERT_FP,Alabama,Lauderdale,Not_in_a_city
1,077,Sulfur_dioxide,Daily Average of observed values,1990,4.064103,,TVA_COLBERT_1____1.8_MI_NNE_COLBERT_FP,Alabama,Lauderdale,Not_in_a_city
1,077,Sulfur_dioxide,3-Hour block average of observed hourly values,1990,4.216599,,TVA_COLBERT_1____1.8_MI_NNE_COLBERT_FP,Alabama,Lauderdale,Not_in_a_city
1,083,Suspended_particulate_(TSP),Observed Values,1990,29.118644,,LIMESTONE_COUNTY_HEALTH_DEPT.,Alabama,Limestone,Athens
1,089,Suspended_particulate_(TSP),Observed Values,1990,38.418182,,5006_PULASKI_PIKE,Alabama,Madison,Huntsville
1,089,Suspended_particulate_(TSP),Observed Values,1990,48.052632,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Beryllium_(TSP)_STP,Observed Values,1990,0,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Barium_(TSP)_STP,Observed Values,1990,0,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Cadmium_(TSP)_STP,Observed Values,1990,0.0003,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Chromium_(TSP)_STP,Observed Values,1990,0.002,,MADISON_STREET,Alabama,Madison,Huntsville
1,089,Copper_(TSP)_STP,Observed Values,1990,0.021,,MADISON_STREET,Alabama,Madison,Huntsville
